"","gene_id1","gene_id2","score","gene_symbol1","gene_symbol2"
"494",1445,5906,919,"CSK","RAP1A"
"495",1445,2268,943,"CSK","FGR"
"496",1445,5295,913,"CSK","PIK3R1"
"497",1445,613,905,"CSK","BCR"
"498",973,6850,982,"CD79A","SYK"
"499",973,867,908,"CD79A","CBL"
"500",973,5728,917,"CD79A","PTEN"
"501",973,6464,905,"CD79A","SHC1"
"502",973,6198,901,"CD79A","RPS6KB1"
"503",973,6654,900,"CD79A","SOS1"
"504",973,5921,900,"CD79A","RASA1"
"505",973,5290,904,"CD79A","PIK3CA"
"506",973,4690,904,"CD79A","NCK1"
"507",973,5777,956,"CD79A","PTPN6"
"508",973,695,976,"CD79A","BTK"
"509",973,2475,910,"CD79A","MTOR"
"510",973,4067,986,"CD79A","LYN"
"511",973,3635,932,"CD79A","INPP5D"
"512",973,2885,923,"CD79A","GRB2"
"513",973,7409,937,"CD79A","VAV1"
"514",973,7410,901,"CD79A","VAV2"
"515",973,5293,912,"CD79A","PIK3CD"
"516",973,974,990,"CD79A","CD79B"
"517",973,1796,912,"CD79A","DOK1"
"518",973,29760,988,"CD79A","BLNK"
"519",973,5335,911,"CD79A","PLCG1"
"520",973,604,978,"CD79A","BCL6"
"521",973,2534,955,"CD79A","FYN"
"522",973,1445,907,"CD79A","CSK"
"523",973,27071,914,"CD79A","DAPP1"
"524",973,5336,938,"CD79A","PLCG2"
"525",973,5295,907,"CD79A","PIK3R1"
"526",973,640,982,"CD79A","BLK"
"527",973,613,912,"CD79A","BCR"
"528",2057,3815,970,"EPOR","KIT"
"529",2057,1432,916,"EPOR","MAPK14"
"530",2057,3716,925,"EPOR","JAK1"
"531",2057,6772,935,"EPOR","STAT1"
"532",2057,5599,921,"EPOR","MAPK8"
"533",2057,6777,982,"EPOR","STAT5B"
"534",2057,695,914,"EPOR","BTK"
"535",2057,3567,728,"EPOR","IL5"
"536",2057,3718,929,"EPOR","JAK3"
"537",2057,1399,944,"EPOR","CRKL"
"538",2057,3558,748,"EPOR","IL2"
"539",2057,4067,976,"EPOR","LYN"
"540",2057,8660,944,"EPOR","IRS2"
"541",2057,1440,773,"EPOR","CSF3"
"542",2057,3717,995,"EPOR","JAK2"
"543",2057,4254,970,"EPOR","KITLG"
"544",2057,2885,965,"EPOR","GRB2"
"545",2057,867,939,"EPOR","CBL"
"546",2057,7410,900,"EPOR","VAV2"
"547",2057,6464,956,"EPOR","SHC1"
"548",2057,2056,999,"EPOR","EPO"
"549",2057,6654,938,"EPOR","SOS1"
"550",2057,7422,708,"EPOR","VEGFA"
"551",2057,1437,796,"EPOR","CSF2"
"552",2057,5335,971,"EPOR","PLCG1"
